,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
139,tt0071230,movie,Blazing Saddles,Blazing Saddles,0,1974,\N,93,"Comedy,Western"
140,tt1620935,movie,Bleed for This,Bleed for This,0,2016,\N,117,"Biography,Drama,Sport"
141,tt0450259,movie,Blood Diamond,Blood Diamond,0,2006,\N,143,"Adventure,Drama,Thriller"
142,tt0106469,movie,"Blood In, Blood Out",Bound by Honor,0,1993,\N,180,"Crime,Drama"
143,tt0092675,movie,Bloodsport,Bloodsport,0,1988,\N,92,"Action,Biography,Drama"
144,tt2278871,movie,Blue Is the Warmest Colour,La vie d'Adèle,0,2013,\N,180,"Drama,Romance"
145,tt0090756,movie,Blue Velvet,Blue Velvet,0,1986,\N,120,"Drama,Mystery,Thriller"
146,tt1727824,movie,Bohemian Rhapsody,Bohemian Rhapsody,0,2018,\N,134,"Biography,Drama,Music"
147,tt2494362,movie,Bone Tomahawk,Bone Tomahawk,0,2015,\N,132,"Drama,Horror,Western"
148,tt5727282,movie,Borg vs. McEnroe,Borg McEnroe,0,2017,\N,107,"Biography,Drama,Sport"
149,tt0096969,movie,Born on the Fourth of July,Born on the Fourth of July,0,1989,\N,145,"Biography,Drama,War"
150,tt0103874,movie,Bram Stoker's Dracula,Dracula,0,1992,\N,128,Horror
151,tt0112573,movie,Braveheart,Braveheart,0,1995,\N,178,"Biography,Drama,History"
152,tt0088846,movie,Brazil,Brazil,0,1985,\N,132,"Drama,Sci-Fi"
153,tt3682448,movie,Bridge of Spies,Bridge of Spies,0,2015,\N,142,"Drama,History,Thriller"
154,tt1895315,movie,Brimstone,Brimstone,0,2016,\N,148,"Drama,Mystery,Thriller"
155,tt0388795,movie,Brokeback Mountain,Brokeback Mountain,0,2005,\N,134,"Drama,Romance"
156,tt2381111,movie,Brooklyn,Brooklyn,0,2015,\N,117,"Drama,Romance"
157,tt0281686,movie,Bubba Ho-Tep,Bubba Ho-Tep,0,2002,\N,92,"Comedy,Fantasy,Horror"
158,tt0094812,movie,Bull Durham,Bull Durham,0,1988,\N,108,"Comedy,Romance,Sport"
159,tt7282468,movie,Burning,Beoning,0,2018,\N,148,"Drama,Mystery"
160,tt0068327,movie,Cabaret,Cabaret,0,1972,\N,124,"Drama,Music,Musical"
161,tt0080487,movie,Caddyshack,Caddyshack,0,1980,\N,98,"Comedy,Sport"
162,tt5726616,movie,Call Me by Your Name,Call Me by Your Name,0,2017,\N,132,"Drama,Romance"
163,tt8267604,movie,Capernaum,Capharnaüm,0,2018,\N,126,Drama
164,tt3498820,movie,Captain America: Civil War,Captain America: Civil War,0,2016,\N,147,"Action,Adventure,Sci-Fi"
165,tt1843866,movie,Captain America: The Winter Soldier,Captain America: The Winter Soldier,0,2014,\N,136,"Action,Adventure,Sci-Fi"
166,tt3553976,movie,Captain Fantastic,Captain Fantastic,0,2016,\N,118,"Comedy,Drama"
167,tt1535109,movie,Captain Phillips,Captain Phillips,0,2013,\N,134,"Adventure,Biography,Crime"
